Model,Type,Term,N_Tokens,Subwords,Has_UNK
Snowflake-M,general,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
Snowflake-M,general,Underexerted,3,under | ##ex | ##erted,False
Snowflake-M,general,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
e5-large,general,Actinobacillus,5,act | ##ino | ##ba | ##ci | ##llus,False
e5-large,general,Adenine,2,aden | ##ine,False
e5-large,general,Anisomelia,4,an | ##iso | ##mel | ##ia,False
e5-large,general,Anterograde,3,ant | ##ero | ##grade,False
e5-large,general,Antifungal,4,anti | ##fu | ##nga | ##l,False
e5-large,general,Armorhead,2,armor | ##head,False
e5-large,general,Banner,1,banner,False
e5-large,general,Boiron,3,bo | ##iro | ##n,False
e5-large,general,Bulrush,3,bu | ##lr | ##ush,False
e5-large,general,Calyptospora,5,cal | ##yp | ##tos | ##por | ##a,False
e5-large,general,Circinella,4,ci | ##rc | ##ine | ##lla,False
e5-large,general,Clupeotoxin,5,cl | ##up | ##eo | ##to | ##xin,False
e5-large,general,Colourful,1,colourful,False
e5-large,general,Corpus,1,corpus,False
e5-large,general,Cryptotomus,3,crypt | ##oto | ##mus,False
e5-large,general,Cyclamate,4,cy | ##cl | ##ama | ##te,False
e5-large,general,Epicauta,3,epic | ##au | ##ta,False
e5-large,general,Ethylnorgestrienone,7,et | ##hyl | ##nor | ##ges | ##tri | ##eno | ##ne,False
e5-large,general,Fibromuscular,4,fi | ##bro | ##mus | ##cular,False
e5-large,general,Framboesiform,4,fra | ##mbo | ##es | ##iform,False
e5-large,general,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
e5-large,general,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
e5-large,general,Healed,1,healed,False
e5-large,general,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
e5-large,general,Hyperactivity,3,hyper | ##act | ##ivity,False
e5-large,general,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
e5-large,general,Intermediary,3,inter | ##media | ##ry,False
e5-large,general,Irrelevant,1,irrelevant,False
e5-large,general,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
e5-large,general,Laughter,1,laughter,False
e5-large,general,Lissemys,4,li | ##sse | ##my | ##s,False
e5-large,general,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
e5-large,general,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
e5-large,general,Malaise,2,mala | ##ise,False
e5-large,general,Microrepair,4,micro | ##re | ##pa | ##ir,False
e5-large,general,Migratory,1,migratory,False
e5-large,general,Millipede,3,mill | ##ipe | ##de,False
e5-large,general,Mycitracin,4,my | ##cit | ##rac | ##in,False
e5-large,general,Myers,1,myers,False
e5-large,general,Notch,1,notch,False
e5-large,general,Notched,2,notch | ##ed,False
e5-large,general,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
e5-large,general,Paraduodenal,4,para | ##du | ##ode | ##nal,False
e5-large,general,Phosmet,3,ph | ##os | ##met,False
e5-large,general,Photogenic,2,photo | ##genic,False
e5-large,general,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
